Time Recorded,Total Apps,Store Entry Used,,,,,,,,,,,,
12/11/2016 21:40,527,http://store.steampowered.com/search/?tags=21978&vrsupport=401,,,,,,,,,,,,
,,,,,,,,,,,,,,
Steam App ID,Game Name,Price,Release Date,Positive Review Percentage,Reviews Count,Developer,Publisher,Genre,Category,Tags,Peak User Yesterday,Number of Owners,Number of Players,Percentage of Actual Players in the Owners
342180,Arizona Sunshine,33.99,6-Dec-16,85%,603,"Vertigo Games, Jaywalkers Interactive",Vertigo Games,"Violent, Gore, Action, Adventure, Indie","Single-player, Multi-player, Online Multi-Player, Online Co-op, Steam Achievements, Steam Trading Cards, VR Support, Steam Cloud, Steam Leaderboards","Zombies (37), Indie (36), VR (33), Action (33), Adventure (31), Horror (25), Gore (24), Violent (22), Survival Horror (18), FPS (15), Survival (9), Multiplayer (8), VR Only (1)",453,15534 +/- 3255,11249 +/- 2769,72.42%
530350,Smashbox Arena,23.99,7-Dec-16,100%,52,"BigBox VR, Inc.","BigBox VR, Inc.","Action, Indie","Single-player, Online Multi-Player","Action (21), Indie (21), VR (12), VR Only (1)",50,1072 +/- 1048,804 +/- 908,75.00%
450540,"Hot Dogs, Horseshoes & Hand Grenades",19.99,5-Apr-16,96%,566,RUST LTD.,RUST LTD.,"Action, Indie, Simulation, Early Access","Single-player, VR Support","Early Access (32), Simulation (29), Indie (26), Action (25), VR (16), VR Only (1)",99,31962 +/- 4668,31069 +/- 4603,97.21%
436320,Raw Data,39.99,14-Jul-16,85%,965,Survios,Survios,"Action, Indie, Strategy, Early Access","Single-player, Co-op, Online Co-op, VR Support, Steam Cloud","Early Access (56), VR (50), Action (45), FPS (39), Indie (38), Multiplayer (33), Co-op (32), Strategy (26), Cyberpunk (16), Horror (5), VR Only (1)",86,51960 +/- 5952,48746 +/- 5765,93.81%
322770,Vanishing Realms,19.99,5-Apr-16,95%,1,Indimo Labs LLC,Indimo Labs LLC,"Adventure, RPG, Early Access","Single-player, VR Support","Early Access (46), RPG (41), Adventure (35), VR (24), Action (11), First-Person (5), VR Only (1)",65,63923 +/- 6602,57495 +/- 6261,89.94%
327140,Tilt Brush,29.99,5-Apr-16,100%,79,Google,Google,Design & Illustration,VR Support,"Design & Illustration (35), VR (23), VR Only (1)",147,163022 +/- 10542,127847 +/- 9336,78.42%
448280,Job Simulator,29.99,5-Apr-16,86%,100,Owlchemy Labs,Owlchemy Labs,Simulation,"Single-player, VR Support","Simulation (71), VR (58), Funny (40), First-Person (26), Singleplayer (24), Physics (18), Comedy (17), Memes (16), Illuminati (12), Atmospheric (8), Free to Play (7), VR Only (1)",138,112134 +/- 8744,99099 +/- 8220,88.38%
496240,Onward,24.99,29-Aug-16,93%,948,Downpour Interactive,Downpour Interactive,"Action, Indie, Simulation, Strategy, Early Access",Online Multi-Player,"Early Access (38), Simulation (34), Action (32), VR (31), Strategy (27), Indie (26), Multiplayer (22), FPS (15), Military (14), Shooter (14), War (13), First-Person (10), Realistic (10), VR Only (1)",122,24105 +/- 4054,23212 +/- 3978,96.30%
418650,Space Pirate Trainer,14.99,5-Apr-16,96%,887,I-Illusions,I-Illusions,"Action, Early Access","Single-player, VR Support","Early Access (30), Action (27), VR (22), Great Soundtrack (10), Space (8), VR Only (1)",133,94814 +/- 8040,72494 +/- 7031,76.46%
412740,Audioshield,19.99,5-Apr-16,91%,1,Dylan Fitterer,Dylan Fitterer,Indie,"Single-player, VR Support","Indie (36), VR (28), Music (22), Music-Based Procedural Generation (15), Rhythm (14), VR Only (1)",116,88743 +/- 7779,68209 +/- 6820,76.86%
